Item_ID,Item,Construct,Bloom_Level,Bloom_Action_Verbs,DoK_Level,Lexical_Diversity,Avg_Sentence_Length,Readability,DBSCAN_Cluster,NMF_Topic,Spectral_Cluster,Cluster,Topic
HiBloom_1,"Anne had a password in her phone represented by the word “HARD” with each letter representing a number written in base five. H represents 12 A represents 1, R represents 11 and D represents 4. The digits have to be converted to the decimal base to obtain the real password. On cracking the password, Daniella was gifted with a prize of Ugx. 720,000 which she shared with Amos and Bryan in a ratio of 5:3:2. After sharing, Amos saved 20% while Bryan saved a third of his share.  
Tasks
(a) Write down Anne’s password   
(b) Determine the amount of money Daniella remained with.  
(c) How much money did Amos and Bryan save? ",Numbers,Analyse ,"Analyze, Appraise, Break down, Categorize, Classify, Compare, Contrast, Correlate, Decompose, Deconstruct, Diagram, Differentiate, Discriminate, Distinguish, Dissect, Examine, Explore, Identify patterns, Integrate, Investigate, Parse, Relate, Resolve, Separate, Subdivide, Uncover, Unravel",3.499263622974963,0.6724137931034483,14.5,71.0125,0,1,1,0,1
HiBloom_2,"Musoke had two wives one in Kanginima village and the other in Mukono town. In addition to the ancestral land, he also bought more land which is two – fifths of the ancestral land in Kanginima. Time came when he was too old and he lost the sight. But before losing his sight he had written a will on how to use his land. He had directed 0.6666666…of the land to be used for farming. A half of the remainder to sold and the remainder to be left for the mukono family. When the heir contacted a surveyor to get the actual land size, he discovered that the neighbor had encroached 5% of the ancestral land and the remaining land size was 28.5 acres.  
Tasks
(a) How big was the ancestral land?   
(b) What is the fraction of the land to be used for farming?  
(c) How big was the land he bought?  
(d) What was to total land size?  
(e) If the buyer offered Ugx.3,500,000 per acre. How much money did the family get from the land?",Data and Probability,Evaluate,Appraise; Argue; Assess; Check; Conclude; Confirm; Critique; Debunk; Defend; Detect errors; Evaluate; Hypothesise; Interpret; Judge; Justify; Monitor; Prioritise; Prove; Rank; Rate; Recommend; Refute; Review; Select; Support; Test; Validate; Verify.,3.0,0.4972677595628415,11.4375,85.40376271186442,1,1,0,0,0
HiBloom_3,"On the last Sunday of the holiday Your uncle decided to play a simple money game with his four sons, Mike, Marvin, Marcus and Medard, the names arranged in their order of birth. He informed them that he had UGX. 1,000,000 for upkeep but he set the condition for his four children to crack the code before getting the money. He got a small piece of paper and he wrote “t e 6” the digits were in the duodecimal base and they needed to be changed to the decimal base in order to get the password for his Airtel money account. he later informed them that the winner would get forty – percent of the money while the rest was to be shared according to the birth order to the ratio 2:3:5. Unfortunately none of them could get the pin. So the youngest son approached you. 
Tasks
(a) Assist your cousin to get the Airtel money pin 
(b) Determine the exact money every person got.",Numbers,Create,Adapt; Assemble; Combine; Compile; Compose; Construct; Derive; Design; Develop; Devise; Formulate; Generalise; Generate; Hypothesise; Integrate; Invent; Make; Model; Modify; Originate; Plan; Predict; Produce; Prove; Reconstruct; Reorganise; Re-present; Synthesise; Theorise; Write,4.0,0.5952380952380952,21.0,70.47628048780489,2,1,2,1,1
HiBloom_4,"During their baking lesson, the students were given a recipe for 10 scones using the following ingredients: o 80g butter o 350g self-raising four o 30g sugar o 2 eggs However, the student has the following ingredient and is preparing for the exhibition due to take place at school and wishes to bake 25 scones for the exhibition because he expects parents and visitors to support his entrepreneurial venture. o 100g butter o 1kg self-raising four o 50g sugar o 4 eggs 
Tasks
 (a) Determine if the student has enough of each ingredient to bake 25 scones based on the recipe.  
(b) Determine how much more of each ingredient the student needs to buy.  
(c) If the prices of the ingredients are as follows:  o Butter: 5,000 shillings per 100g o Self-raising our: 6,000 shillings per kg  o Sugar: 1,000 shillings per 50g o Eggs: 500 shillings per egg Calculate the total cost for the additional ingredients needed. 
 (a) Determine how much the student should sell each scone. Electricity and other expenses are provided free by the school.",Patterns and Algebra,Analyse ,"Analyze, Appraise, Break down, Categorize, Classify, Compare, Contrast, Correlate, Decompose, Deconstruct, Diagram, Differentiate, Discriminate, Distinguish, Dissect, Examine, Explore, Identify patterns, Integrate, Investigate, Parse, Relate, Resolve, Separate, Subdivide, Uncover, Unravel",3.499263622974963,0.5434782608695652,30.66666666666667,42.69411985018729,0,2,1,2,2
HiBloom_5,"A certain member of your family re-wrote each digit of his 4- digit ATM card pin from number system tem (decimal base) to another number system less than four. He did this in fear of theft. Now he is sick in the hospital, he cannot talk nor write but the money on his account is needed to finance the hospital bill. This is how he wrote the pin 12  20  22   10. Assuming you have been approached to support the family get the ATM pin in order to access funds for treatment. The hospital has a nurse who takes checks on him after every two hours and a medical doctor who checks on him after every four hours. Both medical personnel last checked on him together at 9:30am. He was treated well and discharged and advised as follows; To spend three eighths of the day resting, one sixth of the day eating, two thirds of the remainder having a healthy walk and the rest of the day visiting hospitals for further checkup.                                                                                                                Tasks: 
(a) Which number system do you think he used to re-write the pin and why? 
(b) Use the identified number system to help the family generate the original pin  
(c) At what time did both the doctor and the nurse check on him again at the same time? 
(d) How many hours of the day in a week does he spend on visiting hospital?",Geometry and Measures,Evaluate,Appraise; Argue; Assess; Check; Conclude; Confirm; Critique; Debunk; Defend; Detect errors; Evaluate; Hypothesise; Interpret; Judge; Justify; Monitor; Prioritise; Prove; Rank; Rate; Recommend; Refute; Review; Select; Support; Test; Validate; Verify.,3.0,0.5541666666666667,21.81818181818182,67.88281933256619,1,1,0,0,0
HiBloom_6,"Your father spent Ugx 16,000 in buying mangoes, he wants to distribute mangoes equally among his five children. He gives each child y mangoes. After reading the super market receipt, you discover each mango costs Ugx. 800. But you do not know the number of mangoes in the bag and how many mangoes each child will get.  In addition, Abel, Bryan and Chloe are among your best friends since they are your class mates. On a certain day you discover Abel had 18 apples in his bag, Bryan has 24 apples in his bag while Chloe has 30 apples. They want to find the highest equal number of apples that should be put in each bag and the least equal number of apples each bag can contain.  
Tasks:
(a) How many mangoes did your father buy from the market? 
(b) Determine the number of mangoes (y) each child received from your father.                                                                                                                                           (c)  Help Abel, Bryan and Chloe to handle the challenge. ",Numbers,Create,Adapt; Assemble; Combine; Compile; Compose; Construct; Derive; Design; Develop; Devise; Formulate; Generalise; Generate; Hypothesise; Integrate; Invent; Make; Model; Modify; Originate; Plan; Predict; Produce; Prove; Reconstruct; Reorganise; Re-present; Synthesise; Theorise; Write,4.0,0.5460122699386503,14.81818181818182,73.93644444444446,2,1,2,1,1
HiBloom_8,"Your school wants to build a multipurpose science complex of Ugx. 3 BILLION. It organized a fundraising function in which they invited parents, the clergy and other stake holders to help mobilize funds in order to realize this big goal.  The table below shows the income generated from the function
Visitors’ contributions	Capes, holders key and umbrellas	Dinner	Tents and chairs (Expenses)	Food  (Expenses)
USD 50,000	USD 12,500	USD 120	USD 1,800	USD 12,000
If the current exchange rate is USD1 = UGX 3,800/= USD 12,000 
Tasks
(a) How much money (in Ugandan shillings) did the school collect? 
(b) How much money (in Ugandan shillings) did the school spend on the event?                                                                                                                                           (c) Was the target of the science complex achieved? If not now much more money (in USD) is needed for the dream to be achieved?",Data and Probability,Analyse ,"Analyze, Appraise, Break down, Categorize, Classify, Compare, Contrast, Correlate, Decompose, Deconstruct, Diagram, Differentiate, Discriminate, Distinguish, Dissect, Examine, Explore, Identify patterns, Integrate, Investigate, Parse, Relate, Resolve, Separate, Subdivide, Uncover, Unravel",3.499263622974963,0.6267605633802817,20.28571428571428,61.28274509803924,0,2,1,0,2
HiBloom_9,"A certain school organized inter - house football competitions in which five houses participated. Every win would make a house to get 3 points, 1 point for a draw and no point for a loss. The table below shows the performance of the houses.
 HOUSE PERFORMANCE Win Draw RHINO 4 5 Loss ELEPHANT  1 1 5 LION  4 6 2 PANTHER 2 3 4 TIGER  3 5 3 2 The winning house were to get a prize of Ugx. 1,623,790 while the last house would be given a goat to roast and enjoy so that they are not discouraged.
 Tasks
 Assuming you are the official in charge of sports help the school administration to identify  the houses that would get the prize and also help to write the amount in words.",Numbers,Evaluate,Appraise; Argue; Assess; Check; Conclude; Confirm; Critique; Debunk; Defend; Detect errors; Evaluate; Hypothesise; Interpret; Judge; Justify; Monitor; Prioritise; Prove; Rank; Rate; Recommend; Refute; Review; Select; Support; Test; Validate; Verify.,3.0,0.5681818181818182,22.0,69.65717948717949,1,2,0,0,1
HiBloom_10,"In a certain village in Ntungamo, the borehole got spoiled some years ago and they have challenges in finding clean water for domestic work. As a result, a group of boys decided to dig a simple well. It was discovered that for every 4 feet the boys dug, the soil hip would raise 2 feet high. The chairperson LC4 was impressed with their decision to improve the livelihood of their community. So he promised to pay UGX.64000 for every 10 feet dug down. After some days of committed digging, they reached clean water and the LC4 gave the boys Ugx. 480,000 which was the exact amount for the depth of the well. He was later informed that it would cost the community at least UGX.102,000/=  daily for 4 days  to pay the builders in order to have the well-built fully and protected from damage and accidents. Tasks: 
(a) Determine depth of the well.
 (b) Determine the height of the hip of soil from the well. (c) Determine the overall cost of the well.",Patterns and Algebra,Create,Adapt; Assemble; Combine; Compile; Compose; Construct; Derive; Design; Develop; Devise; Formulate; Generalise; Generate; Hypothesise; Integrate; Invent; Make; Model; Modify; Originate; Plan; Predict; Produce; Prove; Reconstruct; Reorganise; Re-present; Synthesise; Theorise; Write,4.0,0.5393258426966292,13.69230769230769,77.91959982214318,2,1,2,1,0
HiBloom_11,"You are playing a game on your computer using a spinner. You start with a spinner at a blue and the score is 12. And spin the spinner three times to orange, spin the spinner five times again to green and finally spin the spinner four times to red. Each spin gives a score of 5. Tasks:
 (a) Write your total score in words
 (b) Using two different charts, display the scores at blue, orange, green and red  ",Geometry and Measures,Analyse ,"Analyze, Appraise, Break down, Categorize, Classify, Compare, Contrast, Correlate, Decompose, Deconstruct, Diagram, Differentiate, Discriminate, Distinguish, Dissect, Examine, Explore, Identify patterns, Integrate, Investigate, Parse, Relate, Resolve, Separate, Subdivide, Uncover, Unravel",3.499263622974963,0.5769230769230769,15.6,85.7933076923077,0,1,1,0,2
HiBloom_12,"Mr kintu was given a certain piece of land by his grandfather in the village. Of this land he intends to use 25% of the land for pumpkins, 2 5 of the land for maize. the remainder of the land he planted cassava. However, He was advised by the Agricultural officer to intercrop maize with beans. Since beans add fertility to the soil. So he planted beans in half of the maize plantations. 
Tasks:
 (a) If the total land area was 42 hectares, determine the percentage occupied by the maize (b) Determine the fraction occupied by the pumpkins
 (c) What percentage of the land was occupied by beans? 
(d) What percentage of the land had cassava",Numbers,Evaluate,Appraise; Argue; Assess; Check; Conclude; Confirm; Critique; Debunk; Defend; Detect errors; Evaluate; Hypothesise; Interpret; Judge; Justify; Monitor; Prioritise; Prove; Rank; Rate; Recommend; Refute; Review; Select; Support; Test; Validate; Verify.,3.0,0.5,14.5,67.40543103448279,1,1,0,0,0
HiBloom_13,"Your aunt is planning to enroll you in a boarding school for your O-level education. She has a budget of Shs 5,000,000 for your school expenses. To visit the school, she decides to take a bodaboda. The boda-boda travels 3 km west from your home to the main road, then 4 km south to reach the school. However, you later realize there's a shortcut path that leads directly from your home to the school. Upon reaching the school, your aunt learns that the school fees are Shs 3,000,000, boarding fees are Shs 1,500,000, and the cost of school supplies is Shs 500,000. Fortunately, the school offers a scholarship program. Students with excellent primary school leaving exam results receive a 50% discount on school fees, a Shs 200,000 reduction in boarding fees, and a Shs. 150,000 voucher for school supplies. You are eligible for this scholarship based on your outstanding performance. The school also offers two payment options for school fees:
  Option 1: Two Installments - Pay two-fifth of the school fees at the beginning of the term and the remaining balance before the midterm exams.
 Option 2: Four Installments - Pay equal amounts at the beginning of the term, before midterm exams, after midterm, and before final exams.  
Tasks:
 (a) What is the distance from your home to the school using the direct path?  
(i) Considering the scholarship, calculate the total amount your aunt will pay for your school expenses.
  (ii) Can your aunt afford the school expenses based on her budget?  For those paying the full school fees amount, calculate the amount paid per installment for each payment option.                                                                                                            (ii). Which payment option would you recommend and why?",Data and Probability,Create,Adapt; Assemble; Combine; Compile; Compose; Construct; Derive; Design; Develop; Devise; Formulate; Generalise; Generate; Hypothesise; Integrate; Invent; Make; Model; Modify; Originate; Plan; Predict; Produce; Prove; Reconstruct; Reorganise; Re-present; Synthesise; Theorise; Write,4.0,0.4586206896551724,16.11111111111111,69.04665109365048,2,2,2,1,1
HiBloom_14,"Kintu has some land that he wishes to use for agriculture. He plans to use one-fifth for maize, 3 acres for sugar canes and the rest for rearing his livestock. If the sugar canes and maize cover half of his total land. He further tells you that he wishes to sell 20% of the land to Mr Makumbi who has two wives and the wives will use the land according the number of children. If the first wife has 6 and the second one has 4 children. 
Tasks: 
(a) Help Mr Kintu to understand the number of acres he has. 
 (b)  Help Mr Makumbi to know the land size each wife will use.",Numbers,Analyse ,"Analyze, Appraise, Break down, Categorize, Classify, Compare, Contrast, Correlate, Decompose, Deconstruct, Diagram, Differentiate, Discriminate, Distinguish, Dissect, Examine, Explore, Identify patterns, Integrate, Investigate, Parse, Relate, Resolve, Separate, Subdivide, Uncover, Unravel",3.499263622974963,0.5,16.28571428571428,84.13849557522127,0,1,1,0,2
HiBloom_15,"Five boys from Namwendwa town decided to collect some money in order to purchase some bunch of clothes to be sold to the village since the village businessmen where making exceedingly high profits. The first boy contributed two hundred forty-eight thousand, five hundred shillings The second boy contributed 15% more than the first boy The third boy contributed 3/5 of the amount the first boy contributed
The fourth boy contributed 10% less than the share contributed by the third boy The fifth boy contribute 1\frac{2}{5}\ \ \ of the share contributed by the second boy
Tasks:
 (a) How much money did each boy contribute? 
(b) By how much more money did the fifth boy exceed the first boy? 
(c) Express the share paid by the third boy as a percentage of the total.",Patterns and Algebra,Evaluate,Appraise; Argue; Assess; Check; Conclude; Confirm; Critique; Debunk; Defend; Detect errors; Evaluate; Hypothesise; Interpret; Judge; Justify; Monitor; Prioritise; Prove; Rank; Rate; Recommend; Refute; Review; Select; Support; Test; Validate; Verify.,3.0,0.5,34.0,53.47466603053437,1,1,0,2,0
HiBloom_16,"Amos and Sam own a poultry farm, from which they make an average profit of UGX 960,000 monthly. They re-invest three-eighths of the profit and share the rest of the money between themselves. Amos receives \frac{5}{12} of the profits.  Amos has four small containers of capacities:16, 24, 56 and 72 litres which he can to use to fill up a bigger container.  
 Tasks:
	Determine how much Sam receives. 
	 What is the capacity of the bigger container which can be filled up by     above containers exactly without a remainder when used separately? ",Geometry and Measures,Create,Adapt; Assemble; Combine; Compile; Compose; Construct; Derive; Design; Develop; Devise; Formulate; Generalise; Generate; Hypothesise; Integrate; Invent; Make; Model; Modify; Originate; Plan; Predict; Produce; Prove; Reconstruct; Reorganise; Re-present; Synthesise; Theorise; Write,4.0,0.711340206185567,16.16666666666667,65.0056684981685,2,1,2,1,2
HiBloom_17,"Alice is supposed to pay 4,500,000 shillings per year at the university. This amount is divided in the ratio 4:3:3 for her fees, accommodation and meals respectively. She is supposed to pay 60%of her fees in the first installment, pay 1/3 of the remainder of the fees in the second installment. Alice is supposed to get the money for fees from a mobile money agent using a 4 – digit code. For security reasons, her father gave her the code written as 234 in base ten and Alice has to convert this code to base six to get the actual code. 
Task: 
(a) How much will Alice pay for fees in the last installment
 (b) How much money will Alice pay for accommodation?
 (c) Help Alice to determine the actual code for withdrawing the money from the mobile money agent",Numbers,Analyse ,"Analyze, Appraise, Break down, Categorize, Classify, Compare, Contrast, Correlate, Decompose, Deconstruct, Diagram, Differentiate, Discriminate, Distinguish, Dissect, Examine, Explore, Identify patterns, Integrate, Investigate, Parse, Relate, Resolve, Separate, Subdivide, Uncover, Unravel",3.499263622974963,0.4620689655172414,20.71428571428572,62.51884892086332,0,2,1,0,1
HiBloom_18,"Your parents have given you the following instructions to make juice for sale while ensuring minimum costs of production. The juice should consist of passion fruits and oranges and you should start with a total of at most 25 fruits. In order to make very good juice, you should make sure that the difference between the number of passion fruits and oranges is at least 4. The number of oranges must not be less than 5. Each passion fruit costs shs 300 and an orange costs shs 200.
 Task: 
(a) Express the conditions for making juice as inequalities 
(b) (i) show the feasible region of the conditions on the Cartesian plane
 (ii) Determine the number of passion fruits and oranges you should use to minimize the cost of production.",Data and Probability,Evaluate,Appraise; Argue; Assess; Check; Conclude; Confirm; Critique; Debunk; Defend; Detect errors; Evaluate; Hypothesise; Interpret; Judge; Justify; Monitor; Prioritise; Prove; Rank; Rate; Recommend; Refute; Review; Select; Support; Test; Validate; Verify.,3.0,0.5891472868217055,21.5,63.68691860465118,1,1,0,0,2
HiBloom_19,"Learners visited a factory making biscuits. The manager showed them records of the masses of biscuits produced by the factory as in the table below. Mass(g) 100-109 110-119 120 - 129 130 - 139 140 - 149 150 - 159 160 - 169 1 3 11 21 Number of Biscuits  8 4 2 When the learners asked the manager about the value of the mass below which half of the biscuits produced lie he was not certain of the actual value. 
Task: 
Help the manager to estimate the value of the mass below which half of the biscuits lie.",Numbers,Create,Adapt; Assemble; Combine; Compile; Compose; Construct; Derive; Design; Develop; Devise; Formulate; Generalise; Generate; Hypothesise; Integrate; Invent; Make; Model; Modify; Originate; Plan; Predict; Produce; Prove; Reconstruct; Reorganise; Re-present; Synthesise; Theorise; Write,4.0,0.6082474226804123,24.25,64.18250000000002,2,1,2,1,1
HiBloom_20,"Simon sells ice cream in schools and the ice cream is of three flavours; chocolate, vanilla and strawberry. He wants to introduce the same business in your school. He knows that for the business to succeed, the probability that the learners will take at least two flavours should be greater than 0.5 He is uncertain of his business success in your school. The study you have carried out in your school indicates that 158 learners like chocolate flavor, 130 like Vanilla, and 188 like strawbelly. 40 learners like chocolate and Vanilla, 80 like strawberry and Vanilla, 88 like chocolate and strawberry and 10 lke none of the three flavours. The number of learners who like all the three flavours is equal to the number of those like chocolate and vanilla only.
 Task:
 Using the data from your study, do you advise Simon to introduce the business in your school? Give a reason for your answer   ",Patterns and Algebra,Analyse ,"Analyze, Appraise, Break down, Categorize, Classify, Compare, Contrast, Correlate, Decompose, Deconstruct, Diagram, Differentiate, Discriminate, Distinguish, Dissect, Examine, Explore, Identify patterns, Integrate, Investigate, Parse, Relate, Resolve, Separate, Subdivide, Uncover, Unravel",3.499263622974963,0.4935897435897436,17.33333333333333,71.46025089605736,0,2,1,0,2
HiBloom_21,"Juma is tasked to take company goods from a factory to three trading centres  The car he is going to use has 20 litres of fuel and it uses 1 litre of fuel for every 15km. He left the factory to the first trading centre which is 70km away on a bearing of N60oE. He then moved East wards at an aversge speed of 60km/hr for 30 minutes to the second trading centre. From this centre he took a bearing of 200o and moved a distance of 50 km to the third trading centre. At this centre, he was shown a direct route that would take him back to the factory but was not sure whether the remaining fuel in the car was enough for that journey since he did not know the distance.
 Task: 
(a) Help Juma to determine;
 (i) The distance of the direct route from the third trading centre to the factory  Whether the remaining fuel in the car will be enough for the journey using the direct route",Geometry and Measures,Evaluate,Appraise; Argue; Assess; Check; Conclude; Confirm; Critique; Debunk; Defend; Detect errors; Evaluate; Hypothesise; Interpret; Judge; Justify; Monitor; Prioritise; Prove; Rank; Rate; Recommend; Refute; Review; Select; Support; Test; Validate; Verify.,3.0,0.4971098265895953,28.83333333333333,65.10228682170545,1,1,0,2,0
HiBloom_22,"Mariam has a room that she plans to use as a hair saloon. She has wallpaper of 4.7m2. the wall she plans to cover with paper is 240cm by 300cm. she knows the wall paper she has is not enough so she needs your advice on how much more she should buy. Aroll of 10m2 of wallpaper is sold at shs. 32,000.  She also plans to use 3 employees and pay each of her three employees a gross salary of shs. 350,000. The gross monthly salary includes an non taxable transport allowance of shs. 90,000. However, before she pays them, she has to deduct income tax as a requirement by the tax authority.  The tax bands are shown in the table below Monthly taxable income (shillings) Tax rate (%) 0 – 100,000 0 100,001−200,000 5 200,001−300,000 15 Mariam is having difficulty in using the tax bands 
Task:
(a)	(i) how many more square metres of wallpaper should Mariam buy?
             (ii) How much will she pay for the extra wall paper                                                 (b)	(i)  What is the total amount of income tax Mariam will deduct from her employees?
 (ii) How much will she pay each of the employees as net net salary?",Numbers,Create,Adapt; Assemble; Combine; Compile; Compose; Construct; Derive; Design; Develop; Devise; Formulate; Generalise; Generate; Hypothesise; Integrate; Invent; Make; Model; Modify; Originate; Plan; Predict; Produce; Prove; Reconstruct; Reorganise; Re-present; Synthesise; Theorise; Write,4.0,0.507177033492823,13.93333333333333,73.20136363636365,2,0,2,1,2
HiBloom_23,"Ruben wants to design a right angled triangular garden in his backyard. The base of the triangular garden is 12 metres long and the height is 8 metres. He plans to divide the garden into three section to plant different flowers. Ruben decides to allocate a third of the garden to roses, a quarter to tulips and the remaining section to sunflowers. He realizes that the roses need 20% of their section to grow properly, the tulips need 15% and the sunflowers require 3.5%. Ruben decides to install a decorative border around the perimeter of his garden so that it just touches the edges of the garden and the border costs UGX 35000 per metre. Ruben has a house valued at 35 million shillings.  Its value increased by 20% after the first year but in the second year, the value of the house depreciated by 10%.  
Task:
(a)	What is the total cost of installing the decorative border? 
(b)	What is the area in square meters allocated to each type of flower? 
(c)	Find out how many square metres of each flower bed should be allocated for optimal growth.
(d)	Find the value of his house at the end of the second (2nd) year.  ",Data and Probability,Analyse ,"Analyze, Appraise, Break down, Categorize, Classify, Compare, Contrast, Correlate, Decompose, Deconstruct, Diagram, Differentiate, Discriminate, Distinguish, Dissect, Examine, Explore, Identify patterns, Integrate, Investigate, Parse, Relate, Resolve, Separate, Subdivide, Uncover, Unravel",3.499263622974963,0.5365853658536586,15.76923076923077,64.33882352941178,0,1,1,0,0
